Type,Coordinates,Lat,Lon
Little Free Library,"41.6436866,-72.6553908",41.6436866,-72.6553908
Little Free Library,"41.8415925,-72.821337",41.8415925,-72.821337
Little Free Library,"41.1356113,-73.2510342",41.1356113,-73.2510342
Little Free Library,"41.7126388,-72.6905728",41.7126388,-72.6905728
Little Free Library,"41.4620044,-73.2378061",41.4620044,-73.2378061
Little Free Library,"41.8357213,-72.557131",41.8357213,-72.557131
Little Free Library,"41.8357213,-72.557131",41.8357213,-72.557131
Little Free Library,"41.5694412,-73.4007453",41.5694412,-73.4007453
Little Free Library,"41.8705586,-72.4506098",41.8705586,-72.4506098
Little Free Library,"41.2447127,-72.9686893",41.2447127,-72.9686893
Little Free Library,"41.2447127,-72.9686893",41.2447127,-72.9686893
Little Free Library,"41.788947,-72.4915728",41.788947,-72.4915728
Little Free Library,"41.7914641,-72.8403549",41.7914641,-72.8403549
Little Free Library,"41.8598809,-72.9151607",41.8598809,-72.9151607
Little Free Library,"41.8598809,-72.9151607",41.8598809,-72.9151607
Little Free Library,"41.4014554,-72.9064787",41.4014554,-72.9064787
Little Free Library,"41.4008308,-73.4591424",41.4008308,-73.4591424
Little Free Library,"41.7736787,-73.1206058",41.7736787,-73.1206058
Little Free Library,"41.3109133,-72.9211522",41.3109133,-72.9211522
Little Free Library,"41.3460894,-71.9584473",41.3460894,-71.9584473
Little Free Library,"41.2357594,-73.3856463",41.2357594,-73.3856463
Little Free Library,"41.2357594,-73.3856463",41.2357594,-73.3856463
Little Free Library,"41.2146971,-73.385742",41.2146971,-73.385742
Little Free Library,"41.2146971,-73.385742",41.2146971,-73.385742
Little Free Library,"41.3380804,-72.8351058",41.3380804,-72.8351058
Little Free Library,"41.5332111,-72.6302229",41.5332111,-72.6302229
Little Free Library,"41.7697402,-73.268465",41.7697402,-73.268465
Little Free Library,"41.4270537,-72.0628456",41.4270537,-72.0628456
Little Free Library,"41.4270537,-72.0628456",41.4270537,-72.0628456
Little Free Library,"41.8499621,-72.5390129",41.8499621,-72.5390129
Little Free Library,"41.7484741,-72.7511152",41.7484741,-72.7511152
Little Free Library,"41.6992761,-72.6838295",41.6992761,-72.6838295
Little Free Library,"41.6368284,-72.2127055",41.6368284,-72.2127055
Little Free Library,"41.6368284,-72.2127055",41.6368284,-72.2127055
Little Free Library,"41.7626148,-72.691866",41.7626148,-72.691866
Little Free Library,"41.7626148,-72.691866",41.7626148,-72.691866
Little Free Library,"41.2049591,-73.2578764",41.2049591,-73.2578764
Little Free Library,"41.662734,-72.795567",41.662734,-72.795567
Little Free Library,"41.662734,-72.795567",41.662734,-72.795567
Little Free Library,"41.9037637,-72.4740524",41.9037637,-72.4740524
Little Free Library,"41.523867,-72.835",41.523867,-72.835
Little Free Library,"41.4867244,-73.0796727",41.4867244,-73.0796727
Little Free Library,"41.4867244,-73.0796727",41.4867244,-73.0796727
Little Free Library,"41.8682896,-72.5803955",41.8682896,-72.5803955
Little Free Library,"41.2683139,-72.8792212",41.2683139,-72.8792212
Little Free Library,"41.1447555,-73.244906",41.1447555,-73.244906
Little Free Library,"41.1447555,-73.244906",41.1447555,-73.244906
Little Free Library,"42.0050609,-72.4814055",42.0050609,-72.4814055
Little Free Library,"42.0050609,-72.4814055",42.0050609,-72.4814055
Little Free Library,"41.7312051,-72.5938873",41.7312051,-72.5938873
Little Free Library,"41.7933837,-72.3934265",41.7933837,-72.3934265
Little Free Library,"41.8125234,-72.8283073",41.8125234,-72.8283073
Little Free Library,"41.8125234,-72.8283073",41.8125234,-72.8283073
Little Free Library,"41.196388,-73.2213059",41.196388,-73.2213059
Little Free Library,"41.5173744,-72.8847025",41.5173744,-72.8847025
Little Free Library,"41.2826664,-72.4113779",41.2826664,-72.4113779
Little Free Library,"41.268004,-72.751661",41.268004,-72.751661
Little Free Library,"41.268004,-72.751661",41.268004,-72.751661
Little Free Library,"41.2655007,-72.8923693",41.2655007,-72.8923693
Little Free Library,"41.6636506,-72.7928075",41.6636506,-72.7928075
Little Free Library,"41.6636506,-72.7928075",41.6636506,-72.7928075
Little Free Library,"41.306364,-72.815885",41.306364,-72.815885
Little Free Library,"41.6641772,-72.6916581",41.6641772,-72.6916581
Little Free Library,"41.6641772,-72.6916581",41.6641772,-72.6916581
Little Free Library,"41.5101157,-72.7138032",41.5101157,-72.7138032
Little Free Library,"41.9219181,-71.9194231",41.9219181,-71.9194231
Little Free Library,"41.9219181,-71.9194231",41.9219181,-71.9194231
Little Free Library,"41.0901491,-73.5460924",41.0901491,-73.5460924
Little Free Library,"41.0901491,-73.5460924",41.0901491,-73.5460924
Little Free Library,"41.6195194,-73.3912518",41.6195194,-73.3912518
Little Free Library,"41.6195194,-73.3912518",41.6195194,-73.3912518
Little Free Library,"41.6852671,-72.8436819",41.6852671,-72.8436819
Little Free Library,"41.2808466,-73.2577152",41.2808466,-73.2577152
Little Free Library,"41.7686315,-72.8598789",41.7686315,-72.8598789
Little Free Library,"41.7686315,-72.8598789",41.7686315,-72.8598789
Little Free Library,"41.7686315,-72.8598789",41.7686315,-72.8598789
Little Free Library,"41.7686315,-72.8598789",41.7686315,-72.8598789
Little Free Library,"41.094229,-73.523661",41.094229,-73.523661
Little Free Library,"41.1536137,-73.2268888",41.1536137,-73.2268888
Little Free Library,"41.1536137,-73.2268888",41.1536137,-73.2268888
Little Free Library,"41.3455744,-72.9454669",41.3455744,-72.9454669
Little Free Library,"41.553297,-72.015209",41.553297,-72.015209
Little Free Library,"41.553297,-72.015209",41.553297,-72.015209
Little Free Library,"41.9418965,-72.4590161",41.9418965,-72.4590161
Little Free Library,"41.4678003,-72.779234",41.4678003,-72.779234
Little Free Library,"41.8299389,-72.7367193",41.8299389,-72.7367193
Little Free Library,"41.3806402,-72.0650792",41.3806402,-72.0650792
Little Free Library,"41.15066528,-73.24043274",41.15066528,-73.24043274
Little Free Library,"41.15066528,-73.24043274",41.15066528,-73.24043274
Little Free Library,"41.3531813,-72.9309821",41.3531813,-72.9309821
Little Free Library,"41.475156,-72.9081745",41.475156,-72.9081745
Little Free Library,"41.8644244,-72.8883544",41.8644244,-72.8883544
Little Free Library,"41.5002848,-72.9237018",41.5002848,-72.9237018
Little Free Library,"41.5002848,-72.9237018",41.5002848,-72.9237018
Little Free Library,"41.41563,-73.10794",41.41563,-73.10794
Little Free Library,"41.41563,-73.10794",41.41563,-73.10794
Little Free Library,"41.3427516,-73.1808108",41.3427516,-73.1808108
Little Free Library,"41.3427516,-73.1808108",41.3427516,-73.1808108
Little Free Library,"41.1972586,-73.4256408",41.1972586,-73.4256408
Little Free Library,"41.1949538,-73.2373165",41.1949538,-73.2373165
Little Free Library,"41.6446818,-72.9818908",41.6446818,-72.9818908
Little Free Library,"41.451208,-73.470899",41.451208,-73.470899
Little Free Library,"41.9937128,-72.594191",41.9937128,-72.594191
Little Free Library,"41.2368722,-73.0362241",41.2368722,-73.0362241
Little Free Library,"41.7499,-72.86401",41.7499,-72.86401
Little Free Library,"41.7499,-72.86401",41.7499,-72.86401
Little Free Library,"41.5278,-73.20385",41.5278,-73.20385
Little Free Library,"41.3897552,-73.0829132",41.3897552,-73.0829132
Little Free Library,"41.2748257,-72.5279758",41.2748257,-72.5279758
Little Free Library,"41.8175553,-72.3688315",41.8175553,-72.3688315
Little Free Library,"41.222357,-73.1339273",41.222357,-73.1339273
Little Free Library,"41.222357,-73.1339273",41.222357,-73.1339273
Little Free Library,"41.9863602,-72.6186049",41.9863602,-72.6186049
Little Free Library,"41.5517681,-72.1033227",41.5517681,-72.1033227
Little Free Library,"41.5517681,-72.1033227",41.5517681,-72.1033227
Little Free Library,"41.2698401,-73.1943021",41.2698401,-73.1943021
Little Free Library,"41.4786102,-73.2387434",41.4786102,-73.2387434
Little Free Library,"41.037213,-73.600181",41.037213,-73.600181
Little Free Library,"41.037213,-73.600181",41.037213,-73.600181
Little Free Library,"41.5713726,-71.4415782",41.5713726,-71.4415782
Little Free Library,"41.8572206,-72.653067",41.8572206,-72.653067
Little Free Library,"41.8572206,-72.653067",41.8572206,-72.653067
Little Free Library,"41.2558539,-73.4521443",41.2558539,-73.4521443
Little Free Library,"41.2558539,-73.4521443",41.2558539,-73.4521443
Little Free Library,"41.8272675,-72.5373512",41.8272675,-72.5373512
Little Free Library,"41.8316285,-72.4779833",41.8316285,-72.4779833
Little Free Library,"41.3216111,-72.913183",41.3216111,-72.913183
Little Free Library,"41.367,72.717",41.367,72.717
Little Free Library,"41.4302,-73.5251",41.4302,-73.5251
Little Free Library,"41.3700311,-72.7145621",41.3700311,-72.7145621
Little Free Library,"41.326072,-73.4890244",41.326072,-73.4890244
Little Free Library,"41.2841531,-73.204849",41.2841531,-73.204849
Little Free Library,"41.48755,-72.8968253",41.48755,-72.8968253
Little Free Library,"41.3402044,-73.0564153",41.3402044,-73.0564153
Little Free Library,"41.894158,-72.757",41.894158,-72.757
Little Free Library,"41.894158,-72.757",41.894158,-72.757
Little Free Library,"41.4639321,-73.2317436",41.4639321,-73.2317436
Little Free Library,"41.0616935,-73.4412476",41.0616935,-73.4412476
Little Free Library,"41.0616935,-73.4412476",41.0616935,-73.4412476
Little Free Library,"41.029934,-73.5643932",41.029934,-73.5643932
Little Free Library,"41.029934,-73.5643932",41.029934,-73.5643932
Little Free Library,"41.5074137,-72.9662871",41.5074137,-72.9662871
Little Free Library,"41.3569388,-72.0969496",41.3569388,-72.0969496
Little Free Library,"41.3569388,-72.0969496",41.3569388,-72.0969496
Little Free Library,"41.8121,-72.233",41.8121,-72.233
Little Free Library,"77.4977,-27.2046",77.4977,-27.2046
Little Free Library,"41.9804474,-72.7521772",41.9804474,-72.7521772
Little Free Library,"41.8455658,-72.4754235",41.8455658,-72.4754235
